Filename,Year,Age,AgeClass,Country Code,Country Name,World Region,Balanced Region,Size,Mean Color,Variance
2019_6-9_0415_BGR_R_C.jpg,2019,6-9,2,BGR,Bulgaria,Eastern Europe,Eastern Europe,"(763, 1048)",[97.49730623 84.30539854 63.64554841],3548.4803083588254
2019_6-9_0294_KOR_a_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(825, 1172)",[123.52415865 134.05533975 102.47422277],6086.052626901699
2019_6-9_0290_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(824, 1099)",[146.72012951 133.16303325  67.90586102],6023.312862008828
2019_6-9_0289_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(848, 1169)",[133.13302371 117.20150266  59.8107387 ],6262.529060745884
2019_6-9_0291_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(821, 1172)",[153.41033993 158.22842263 148.10265617],5577.524707005489
2019_6-9_0286_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(816, 1158)",[135.52876939 142.96571908  76.07270078],7491.298316229381
2019_6-9_0295_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(804, 1128)",[167.90174901 135.67317116  88.51029538],6626.555031345324
2019_6-9_0285_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(909, 1161)",[88.6883448  82.0459014  82.44119623],2779.8091632148366
2019_6-9_0293_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(850, 1149)",[102.69010802 108.04148671  54.12057953],5648.483544521003
2019_6-9_0284_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(817, 1168)",[141.15708049 117.42386949  52.18253488],7369.706160317208
2019_6-9_0281_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(817, 1154)",[103.62725256 101.09257036  86.10158588],5742.506337147665
2019_6-9_0282_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(1190, 837)",[113.75106272 144.11443531 115.54381896],5283.243415776002
2019_6-9_0288_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(806, 1155)",[131.19226365 107.52499866  30.5393789 ],5330.072451272231
2019_6-9_0276_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(811, 1166)",[83.4648307  98.12253259 75.96677228],5004.054022437343
